AN,Quantity,Designator,Comment,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage

"24921","13","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C13, C14, C62","470nF","KON 470nF X5R 6.3V SMD 20%","0603 (0201)","470n","CAPC0603X33N","01","TE0722-01-FULL","","SMT","Yes","X5R","20%","","6.3V"
"24719","7","C11, C15, C18, C19, C20, C23, C63","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","1005 (0402)","4.7u","CAPC1005X60N","01","TE0722-01-FULL","","SMT","Yes","X5R","20%","","6.3"
"24718","5","C12, C16, C21, C24, C25","47µF","KON 47µF 6,3V  X5R SMD 20%","2012 (0805)","47u","CAPC2012X135N","01","TE0722-01-FULL","","SMT","Yes","X5R","20%","","6.3V"
"26721","2","D1, D3","Chip LED 0603 Infrared","Chip LED 0603 Infrared","0603","","chipLED_0603_Red","01","TE0722-01-FULL","","SMT","Yes","","","","1.2"
"24211","1","D2","LED Green SML-P11MTT86","LED Grün SML-P11MTT86 SMD","1005 (0402)","","LEDC1006X25N_GREEN","01","TE0722-01-FULL","","SMT","Yes","","","",""
"26299","1","D4","LED, RGB, 3528 PLCC","LED, RGB, 3528 PLCC","3528 PLCC","","PLCC150P360X280X190-4N","01","TE0722-01-FULL","","SMT","","","","",""
"24212","2","D5, D6","LED Red SML-P11UTT86","LED Rot SML-P11UTT86 SMD","1005 (0402)","","LEDC1006X25N_RED","01","TE0722-01-FULL","","SMT","Yes","","","",""
"24994","1","J8","microSD Card Header with Detect Switch","microSD Card Header with Detect Switch","microSD","","47309-2651","01","TE0722-01-FULL","Yes","SMT","Yes","","","",""
"25393","2","L4, L5","BKP0603HS121-T","Ferritdurchführung SMD 0201","0603 (0201)","","INDC0603X33N","01","TE0722-01-FULL","Yes","SMT","Yes","","25%","",""
"23846","1","R1","200K","WID SMD 200K 1% 0,063W","1005 (0402)","200K","RESC1005X40N","01","TE0722-01-FULL","","SMT","Yes","","1%","",""
"26224","1","R2","301K","WID SMD 301K 1% 0,063W","1005 (0402)","301k","RESC1005X40N","01","TE0722-01-FULL","","SMT","","","1%","",""
"25242","2","R3, R4","4K7","WID SMD 4K7 1% 0,05W","0603 (0201)","4.7K","RESC0603X26N","01","TE0722-01-FULL","","SMT","Yes","","1%","",""
"22769","3","R5, R20, R22","470R","WID SMD 470R 1% 0,063W","1005 (0402)","470","RESC1005X40N","01","TE0722-01-FULL","","SMT","Yes","","1%","",""
"22770","1","R6","33R","WID SMD 33R 1% 0,063W","1005 (0402)","33","RESC1005X40N","01","TE0722-01-FULL","","SMT","Yes","","1%","",""
"25053","10","R7, R8, R9, R10, R11, R12, R13, R14, R17, R18","19K1","WID SMD 19K1 1% 0,05W","0603 (0201)","19.1K","RESC0603X26N","01","TE0722-01-FULL","","SMT","","","1%","",""
"24914","3","R15, R16, R19","10K","WID SMD 10K 1% 0,05W","0603 (0201)","10K","RESC0603X26N","01","TE0722-01-FULL","","SMT","Yes","","1%","",""
"26289","2","TP7, TP8","Testpoint 0.8mm","Testpoint 0.8mm","","","TP_0.8mm","01","TE0722-01-FULL","","1","","","","",""
"26308","1","U1","XC7Z010-1CLG225C","XC7Z010-1CLG225C","CLG225","","CLG225","01","TE0722-01-FULL","","SMT","","","","",""
"25492","2","U2, U3","EN5311QI","EN5311QI","QFN20","","EN5311QI","01","TE0722-01-FULL","Yes","SMT","Yes","","","",""
"26318","1","U4","Si1143-A11-GMR","Si1143-A11-GMR","QFN10","","QFN50P200X200X75-10N","01","TE0722-01-FULL","","AMT","","","","",""
"26078","1","U5","S25FL127SABMFV10","S25FL127SABMFV10 automotive SO8","SO8W","","SOIC127P790X216-8N","01","TE0722-01-FULL","","SMT","","","","",""
"26439","1","U6","TPS3106K33DBVR","TPS3106K33DBVR","SOT23-6","","SOT95P280X145-6N","01","TE0722-01-FULL","","SMT","","","","",""
"25023","1","U8","SiT8008AI-73-XXS-33.333333E","SiT8008AI-73-XXS-33.333333E MEMS Oszillator 33.333333MHz","2.0  x 1.6mm","33M","2016","01","TE0722-01-FULL","Yes","SMT","Yes","","","",""
