Center-X(mm),Center-Y(mm),Comment,Description,Designator,Footprint,Layer,LibRef,Quantity,Rotation,Variant,Revision,Trenz-Stock,Value,AN,Case,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,Ref-X(mm),Ref-Y(mm)

"14.3","1.07","470nF","KON 470nF X5R 6.3V SMD 20%","C1","CAPC0603X33N","Bottom","24921","1","90","TE0722-01-FULL","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","14.3","1.07"
"12.37","6.84","470nF","KON 470nF X5R 6.3V SMD 20%","C2","CAPC0603X33N","Bottom","24921","1","180","TE0722-01-FULL","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","12.37","6.84"
"9.12","8.63","470nF","KON 470nF X5R 6.3V SMD 20%","C3","CAPC0603X33N","Bottom","24921","1","270","TE0722-01-FULL","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","9.12","8.63"
"10.12","7.81","470nF","KON 470nF X5R 6.3V SMD 20%","C4","CAPC0603X33N","Bottom","24921","1","90","TE0722-01-FULL","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","10.12","7.81"
"3.6","5.71","470nF","KON 470nF X5R 6.3V SMD 20%","C5","CAPC0603X33N","Bottom","24921","1","180","TE0722-01-FULL","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","3.6","5.71"
"9.55","10.6","470nF","KON 470nF X5R 6.3V SMD 20%","C6","CAPC0603X33N","Bottom","24921","1","0","TE0722-01-FULL","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","9.55","10.6"
"10.625","6.62","470nF","KON 470nF X5R 6.3V SMD 20%","C7","CAPC0603X33N","Bottom","24921","1","180","TE0722-01-FULL","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","10.625","6.62"
"12.11","9.5","470nF","KON 470nF X5R 6.3V SMD 20%","C8","CAPC0603X33N","Bottom","24921","1","90","TE0722-01-FULL","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","12.11","9.5"
"7.32","8.7","470nF","KON 470nF X5R 6.3V SMD 20%","C9","CAPC0603X33N","Bottom","24921","1","90","TE0722-01-FULL","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","7.32","8.7"
"9.14","7","470nF","KON 470nF X5R 6.3V SMD 20%","C10","CAPC0603X33N","Bottom","24921","1","270","TE0722-01-FULL","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","9.14","7"
